Coin,Signal,Confidence,Price,TP,SL,Regime,signal_time_utc,signal_time_ist,Outcome,Duration_min,Time_to_TP_min,Time_to_SL_min,Estimated_profit,IND__rsi5m,IND__macd5m__macd,IND__macd5m__signal,IND__macd5m__histogram,IND__boll5m__upper,IND__boll5m__middle,IND__boll5m__lower,IND__boll5m__percent_b,IND__cci5m,IND__marketTrend,IND__volProfile__bullish_score,IND__volProfile__bearish_score,IND__ema50_5m,IND__atr5m,IND__hma5m,IND__hma_slope,IND__hma_slope_pct,IND__alma5m,IND__tsi5m,IND__stc5m,IND__cvd5m__trend,IND__cvd5m__value,COMP__base_score,COMP__momentum_score,COMP__trend_score,COMP__volume_score,COMP__confluence_bonus,COMP__profit_check,SCORE__percent_b,SCORE__rsi,SCORE__cci,SCORE__macd_hist,SCORE__atr,SCORE__hma,SCORE__alma,SCORE__tsi,SCORE__stc,SCORE__volProfile_bull,SCORE__volProfile_bear,SCORE__cvd_trend,SCORE__cvd_value,SCORE__hma_slope,SCORE__hma_slope_pct,SCORE__estimated_profit_margin_pct,CONFL__flags,WOULD_BE_STRONG,HMA_GATEKEEPER__applied,HMA_GATEKEEPER__reason,HMA_GATEKEEPER__confidence,ANALYSIS__engine,ANALYSIS__confidence,CONFL_FLAG__RSI__30___CVD_falling,HMA_GATEKEEPER__hma_slope,HMA_GATEKEEPER__hma_slope_pct,HMA_GATEKEEPER__before_confidence,HMA_GATEKEEPER__after_confidence,SUPERVISOR__applied,SUPERVISOR__before_confidence,SUPERVISOR__after_confidence,SUPERVISOR__hist_norm,SUPERVISOR__hma_slope_pct,SUPERVISOR__cvd_support,SUPERVISOR__rule,__source_file,SUPERVISOR__reason,WOULD__missing_points,WOULD__top1,WOULD__top2,WOULD__top3
PLUMEUSDT,Buy,54,0.11187,0.11267546,0.1085139,Bullish,2025-09-11T07:39:28.986451+00:00,2025-09-11T13:09:28.986451+05:30,Success,22,22.0,,5.04%,27.123976015962057,-0.0007318770207903891,-0.0006376066196773144,-9.427040111307464e-05,0.11486491422709162,0.113276,0.11168708577290838,0.0575595032044069,-138.81657989587595,5.0,0.0,3.0,0.11451586308243149,0.0006161813884315492,0.1122015625,-0.0003662499999999985,-0.32642147920177,,-35.65131938838103,,falling,-8059296.0,24.0,0.0,8.0,5.0,12.0,5.0,0.0575595032044069,27.123976015962057,-138.81657989587595,-9.427040111307464e-05,0.0006161813884315492,0.1122015625,,-35.65131938838103,,0.0,3.0,falling,-8059296.0,-0.0003662499999999985,-0.32642147920177,5.040000000000036,RSI<=30 & CVD_falling,"{""if_confidence_needed"": 65, ""missing_points"": 11, ""top_missing_components"": [{""component"": ""momentum_score"", ""gap"": 20.0}, {""component"": ""confluence_bonus"", ""gap"": 18.0}, {""component"": ""base_score"", ""gap"": 16.0}]}",False,hma_not_aligned,,Buy,54,1.0,-0.0003662499999999985,-0.32642147920177,,,,,,,,,,signals_2025-09-11_13-09-49.csv,,11,momentum_score:20.0,confluence_bonus:18.0,base_score:16.0
LDOUSDT,Buy,40,1.2676,1.27672672,1.229572,Bullish,2025-09-11T07:39:32.119016+00:00,2025-09-11T13:09:32.119016+05:30,Success,291,291.0,,5.04%,46.555937796324145,0.0011045976992380968,0.0021958924283661733,-0.0010912947291280765,1.2800492924957882,1.271425,1.2628007075042118,0.278242678928854,-66.8804703681451,5.0,3.0,0.0,1.2668865847336162,0.005103819938267414,1.2737640625000002,-0.0017953124999998682,-0.14094545079849652,,5.996356108994421,,falling,-720870.0,6.0,4.0,15.0,10.0,0.0,5.0,0.278242678928854,46.555937796324145,-66.8804703681451,-0.0010912947291280765,0.005103819938267414,1.2737640625000002,,5.996356108994421,,3.0,0.0,falling,-720870.0,-0.0017953124999998682,-0.14094545079849652,5.040000000000018,,"{""if_confidence_needed"": 65, ""missing_points"": 25, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 34.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 16.0}]}",False,not_in_gap_or_already_strong,40.0,Buy,40,,,,,,,,,,,,,signals_2025-09-11_13-09-49.csv,,25,base_score:34.0,confluence_bonus:30.0,momentum_score:16.0
ACEUSDT,Buy,43,0.8237,0.82963064,0.798989,Bullish,2025-09-11T07:39:40.315780+00:00,2025-09-11T13:09:40.315780+05:30,Fail,1,,1.0,5.04%,67.30782791660896,0.07900476691261726,0.06100276136798348,0.018002005544633784,0.9875597242887466,0.6971649999999999,0.40677027571125324,0.7178672500161938,60.590677216777884,5.0,3.0,0.0,0.6593504132979284,0.045447255651724604,0.95454375,0.042321875000000064,4.433728155466951,,60.63739564228507,,rising,36795245.49999999,4.0,13.506583552197739,15.0,5.0,0.0,5.0,0.7178672500161938,67.30782791660896,60.590677216777884,0.018002005544633784,0.045447255651724604,0.95454375,,60.63739564228507,,3.0,0.0,rising,36795245.49999999,0.042321875000000064,4.433728155466951,5.0399999999999885,,"{""if_confidence_needed"": 65, ""missing_points"": 22, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 36.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 6.49}]}",False,not_in_gap_or_already_strong,43.0,Buy,43,,,,,,,,,,,,,signals_2025-09-11_13-09-49.csv,,22,base_score:36.0,confluence_bonus:30.0,momentum_score:6.49
QUSDT,Buy,43,0.015907,0.01602153,0.01542979,Bullish,2025-09-11T07:39:47.467324+00:00,2025-09-11T13:09:47.467324+05:30,Success,28,28.0,,5.04%,70.25247025208427,0.00014485936067769843,9.678944891225468e-05,4.806991176544375e-05,0.015828263912964304,0.0154667,0.015105136087035696,1.1088826680602262,231.47770180630658,5.0,3.0,0.0,0.015397048862862962,0.00019260368834498752,0.015537828125,6.357812499999983e-05,0.40918283101422737,,23.0788925795402,,rising,132345911.0,8.0,9.989905449288216,15.0,5.0,0.0,5.0,1.1088826680602262,70.25247025208427,231.47770180630658,4.806991176544375e-05,0.00019260368834498752,0.015537828125,,23.0788925795402,,3.0,0.0,rising,132345911.0,6.357812499999983e-05,0.40918283101422737,5.039999999999998,,"{""if_confidence_needed"": 65, ""missing_points"": 22, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 10.01}]}",False,not_in_gap_or_already_strong,43.0,Buy,43,,,,,,,,,,,,,signals_2025-09-11_13-09-49.csv,,22,base_score:32.0,confluence_bonus:30.0,momentum_score:10.01
TRXUSDT,Buy,42,0.34484,0.34732285,0.3344948,Bullish,2025-09-11T07:39:48.459500+00:00,2025-09-11T13:09:48.459500+05:30,Success,215,215.0,,5.04%,61.37017040590764,0.0003499910477399726,0.00041269669260028685,-6.270564486031427e-05,0.34497225573791934,0.344542,0.3441117442620807,0.8463056663010033,112.9599250058638,5.0,3.0,0.0,0.3434942089548781,0.0003666360159602508,0.34447015625000005,-3.906249999996447e-05,-0.011339879316458048,,21.133938616236055,,rising,2275324.0,8.0,9.0,15.0,5.0,0.0,5.0,0.8463056663010033,61.37017040590764,112.9599250058638,-6.270564486031427e-05,0.0003666360159602508,0.34447015625000005,,21.133938616236055,,3.0,0.0,rising,2275324.0,-3.906249999996447e-05,-0.011339879316458048,5.039999999999964,,"{""if_confidence_needed"": 65, ""missing_points"": 23, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 11.0}]}",False,not_in_gap_or_already_strong,42.0,Buy,42,,,,,,,,,,,,,signals_2025-09-11_13-09-49.csv,,23,base_score:32.0,confluence_bonus:30.0,momentum_score:11.0
NAORISUSDT,Buy,41,0.07697,0.07752418,0.0746609,Bullish,2025-09-11T07:52:27.173967+00:00,2025-09-11T13:22:27.173967+05:30,Success,4,4.0,,5.04%,57.7072167879978,0.0003143216778291186,-4.319090458263591e-05,0.0003575125824117545,0.07741378787811914,0.07507849999999999,0.07274321212188084,0.9049821903592083,157.21242016062558,5.0,0.0,3.0,0.07617343197918054,0.002346085892973444,0.07445171875,0.0001687499999999953,0.22665695679456058,,4.077221703486606,,rising,35069994.0,8.0,12.657283820503,15.0,0.0,0.0,5.0,0.9049821903592083,57.7072167879978,157.21242016062558,0.0003575125824117545,0.002346085892973444,0.07445171875,,4.077221703486606,,0.0,3.0,rising,35069994.0,0.0001687499999999953,0.22665695679456058,5.039999999999993,,"{""if_confidence_needed"": 65, ""missing_points"": 24, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""volume_score"", ""gap"": 10.0}]}",False,not_in_gap_or_already_strong,41.0,Buy,41,,,,,,,,,,,,,signals_2025-09-11_13-23-23_STRONG.csv,,24,base_score:32.0,confluence_bonus:30.0,volume_score:10.0
WLFIUSDT,Buy,40,0.201,0.2024472,0.19497,Bullish,2025-09-11T07:52:30.955385+00:00,2025-09-11T13:22:30.955385+05:30,Success,55,55.0,,5.04%,61.63561606350517,0.0004166958762016615,0.00030897270507010085,0.00010772317113156064,0.2012712575555389,0.20002500000000004,0.19877874244446117,0.8911711490400548,136.9047619047571,5.0,3.0,0.0,0.19976068797730673,0.0008034719098129741,0.20046875,0.00020781250000001528,0.10366328916602476,,14.900558360800394,,rising,34965021.0,8.0,7.217730546123578,15.0,5.0,0.0,5.0,0.8911711490400548,61.63561606350517,136.9047619047571,0.00010772317113156064,0.0008034719098129741,0.20046875,,14.900558360800394,,3.0,0.0,rising,34965021.0,0.00020781250000001528,0.10366328916602476,5.040000000000033,,"{""if_confidence_needed"": 65, ""missing_points"": 25, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 12.78}]}",False,not_in_gap_or_already_strong,40.0,Buy,40,,,,,,,,,,,,,signals_2025-09-11_13-23-23_STRONG.csv,,25,base_score:32.0,confluence_bonus:30.0,momentum_score:12.78
SOMIUSDT,Buy,41,0.9707,0.97768904,0.941579,Bullish,2025-09-11T07:52:39.584087+00:00,2025-09-11T13:22:39.584087+05:30,Fail,25,,25.0,5.04%,55.00121244949276,0.0052500534647397235,0.0039956975566039395,0.001254355908135784,0.9805193535889387,0.9650700000000001,0.9496206464110615,0.6822082706434677,99.05803707080167,5.0,3.0,0.0,0.9602990663291396,0.011082640523766167,0.9708609374999999,0.0034000000000000696,0.35020463473947006,,12.713974018024976,,falling,-2375627.0,4.0,6.716369057599688,15.0,10.0,0.0,5.0,0.6822082706434677,55.00121244949276,99.05803707080167,0.001254355908135784,0.011082640523766167,0.9708609374999999,,12.713974018024976,,3.0,0.0,falling,-2375627.0,0.0034000000000000696,0.35020463473947006,5.040000000000002,,"{""if_confidence_needed"": 65, ""missing_points"": 24, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 36.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 13.28}]}",False,not_in_gap_or_already_strong,41.0,Buy,41,,,,,,,,,,,,,signals_2025-09-11_13-23-23_STRONG.csv,,24,base_score:36.0,confluence_bonus:30.0,momentum_score:13.28
FARTCOINUSDT,Buy,40,0.8819,0.88824968,0.855443,Bullish,2025-09-11T07:52:41.485252+00:00,2025-09-11T13:22:41.485252+05:30,Success,278,278.0,,5.04%,56.017830096893604,0.0008816727036234928,0.0004844616037728335,0.00039721109985065933,0.8831402512781968,0.8791500000000001,0.8751597487218034,0.8445898275913449,100.2155172413805,5.0,3.0,0.0,0.879093903948483,0.0037092386862117464,0.8798515624999999,0.0003812499999997776,0.043331172694232464,,7.176361795382811,,rising,4148442.900000001,8.0,6.570087072544789,15.0,5.0,0.0,5.0,0.8445898275913449,56.017830096893604,100.2155172413805,0.00039721109985065933,0.0037092386862117464,0.8798515624999999,,7.176361795382811,,3.0,0.0,rising,4148442.900000001,0.0003812499999997776,0.043331172694232464,5.04000000000002,,"{""if_confidence_needed"": 65, ""missing_points"": 25, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 13.43}]}",False,not_in_gap_or_already_strong,40.0,Buy,40,,,,,,,,,,,,,signals_2025-09-11_13-23-23_STRONG.csv,,25,base_score:32.0,confluence_bonus:30.0,momentum_score:13.43
XNYUSDT,Strong Buy,66,0.014339,0.01444224,0.01390883,Bullish,2025-09-11T07:52:49.166662+00:00,2025-09-11T13:22:49.166662+05:30,Success,1,1.0,,5.04%,62.35757681401587,2.0195312509078273e-05,-6.561590422330913e-05,8.58112167323874e-05,0.014568935300877203,0.013871,0.013173064699122796,0.8352746303359291,94.5038998730279,5.0,3.0,0.0,0.01396060738960465,0.0002543312175383037,0.013729515625,0.00018998437500000048,1.3837660423653908,,1.730645255419188,,falling,-48898132.0,4.0,17.097587160204313,15.0,10.0,0.0,5.0,0.8352746303359291,62.35757681401587,94.5038998730279,8.58112167323874e-05,0.0002543312175383037,0.013729515625,,1.730645255419188,,3.0,0.0,falling,-48898132.0,0.00018998437500000048,1.3837660423653908,5.039999999999976,,"{""if_confidence_needed"": 65, ""missing_points"": 0, ""top_missing_components"": []}",True,,,Buy,66,,0.00018998437500000048,1.3837660423653908,51.0,59.0,True,59.0,66.0,0.674798930017026,1.3837660423653908,True,hist_norm>=0.6 AND (hma_slope_pct>=0.15 OR cvd_support),signals_2025-09-11_13-23-23_STRONG.csv,,0,,,
KAITOUSDT,Buy,46,1.2424,1.25134528,1.205128,Bullish,2025-09-11T07:52:53.415717+00:00,2025-09-11T13:22:53.415717+05:30,Success,144,144.0,,5.04%,64.00515804004627,0.0019781685713158303,0.0013026026115103195,0.0006755659598055108,1.2427831576085526,1.2368549999999998,1.230926842391447,0.9676832471525489,145.68258562470163,5.0,3.0,0.0,1.235683464195022,0.004134552066010799,1.2360015625,0.0015687500000001187,0.12692136058688183,,14.389254523016964,,rising,1146523.5000000002,8.0,12.921484788792574,15.0,5.0,0.0,5.0,0.9676832471525489,64.00515804004627,145.68258562470163,0.0006755659598055108,0.004134552066010799,1.2360015625,,14.389254523016964,,3.0,0.0,rising,1146523.5000000002,0.0015687500000001187,0.12692136058688183,5.040000000000031,,"{""if_confidence_needed"": 65, ""missing_points"": 19, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 7.08}]}",False,not_in_gap_or_already_strong,46.0,Buy,46,,,,,,,,,,,,,signals_2025-09-11_13-23-23_STRONG.csv,,19,base_score:32.0,confluence_bonus:30.0,momentum_score:7.08
UNIUSDT,Buy,46,9.898,9.9692656,9.60106,Bullish,2025-09-11T07:52:56.260522+00:00,2025-09-11T13:22:56.260522+05:30,Inconclusive,600,,,5.04%,44.030309947278646,0.0035428103763255336,0.011874270521939526,-0.008331460145613992,9.97549399255494,9.93455,9.89360600744506,0.053658574564313485,-142.83746556473818,5.0,3.0,0.0,9.89611759030832,0.025468183016217012,9.919328124999998,-0.010734375000000185,-0.10821675485203476,,4.271296616362729,,falling,-82238.0,12.0,4.0,15.0,10.0,0.0,5.0,0.053658574564313485,44.030309947278646,-142.83746556473818,-0.008331460145613992,0.025468183016217012,9.919328124999998,,4.271296616362729,,3.0,0.0,falling,-82238.0,-0.010734375000000185,-0.10821675485203476,5.040000000000019,,"{""if_confidence_needed"": 65, ""missing_points"": 19, ""top_missing_components"": [{""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""base_score"", ""gap"": 28.0}, {""component"": ""momentum_score"", ""gap"": 16.0}]}",False,not_in_gap_or_already_strong,46.0,Buy,46,,,,,,,,,,,,,signals_2025-09-11_13-23-23_STRONG.csv,,19,confluence_bonus:30.0,base_score:28.0,momentum_score:16.0
TAOUSDT,Buy,40,357.79,360.366088,347.0563,Bullish,2025-09-11T07:53:04.837357+00:00,2025-09-11T13:23:04.837357+05:30,Success,67,67.0,,5.04%,65.22085807162023,1.1173518723064149,0.9690022733311905,0.14834959897522437,358.12552940067906,355.2935,352.46147059932093,0.9407616671284234,122.85039901090178,5.0,3.0,0.0,353.84874176618314,1.255539982181047,356.56890625,0.15218749999996817,0.04268109118108729,,24.750067011581567,,rising,9685.756,8.0,6.835744321913583,15.0,5.0,0.0,5.0,0.9407616671284234,65.22085807162023,122.85039901090178,0.14834959897522437,1.255539982181047,356.56890625,,24.750067011581567,,3.0,0.0,rising,9685.756,0.15218749999996817,0.04268109118108729,5.040000000000052,,"{""if_confidence_needed"": 65, ""missing_points"": 25, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 13.16}]}",False,not_in_gap_or_already_strong,40.0,Buy,40,,,,,,,,,,,,,signals_2025-09-11_13-23-23_STRONG.csv,,25,base_score:32.0,confluence_bonus:30.0,momentum_score:13.16
PLUMEUSDT,Buy,54,0.11179,0.11259489,0.1084363,Bullish,2025-09-11T07:53:06.785743+00:00,2025-09-11T13:23:06.785743+05:30,Success,8,8.0,,5.04%,29.324402292189276,-0.00074888292131646,-0.0006911260662269627,-5.775685508949721e-05,0.11490235131830316,0.1130185,0.11113464868169683,0.1739392360575105,-104.34895833333337,5.0,0.0,3.0,0.11421046988581338,0.0006064287428586551,0.11146812499999999,-0.00016984375000002327,-0.15236979181270277,,-37.86784496636748,,falling,-10301537.0,24.0,0.0,8.0,5.0,12.0,5.0,0.1739392360575105,29.324402292189276,-104.34895833333337,-5.775685508949721e-05,0.0006064287428586551,0.11146812499999999,,-37.86784496636748,,0.0,3.0,falling,-10301537.0,-0.00016984375000002327,-0.15236979181270277,5.040000000000022,RSI<=30 & CVD_falling,"{""if_confidence_needed"": 65, ""missing_points"": 11, ""top_missing_components"": [{""component"": ""momentum_score"", ""gap"": 20.0}, {""component"": ""confluence_bonus"", ""gap"": 18.0}, {""component"": ""base_score"", ""gap"": 16.0}]}",False,hma_not_aligned,,Buy,54,1.0,-0.00016984375000002327,-0.15236979181270277,,,,,,,,,,signals_2025-09-11_13-23-23_STRONG.csv,,11,momentum_score:20.0,confluence_bonus:18.0,base_score:16.0
QUSDT,Buy,43,0.015907,0.01602153,0.01542979,Bullish,2025-09-11T07:53:20.166966+00:00,2025-09-11T13:23:20.166966+05:30,Success,14,14.0,,5.04%,68.21879530682925,0.00017397470457709494,0.00013113528416203602,4.2839420415058914e-05,0.015993169459629825,0.015540599999999998,0.015088030540370171,0.9047997409057326,133.16218463424553,5.0,3.0,0.0,0.015452750484026329,0.00017960768099912485,0.015831703125,9.357812499999688e-05,0.5910805948112224,,28.18183232228496,,rising,45884216.0,8.0,9.724399336609796,15.0,5.0,0.0,5.0,0.9047997409057326,68.21879530682925,133.16218463424553,4.2839420415058914e-05,0.00017960768099912485,0.015831703125,,28.18183232228496,,3.0,0.0,rising,45884216.0,9.357812499999688e-05,0.5910805948112224,5.039999999999998,,"{""if_confidence_needed"": 65, ""missing_points"": 22, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 10.28}]}",False,not_in_gap_or_already_strong,43.0,Buy,43,,,,,,,,,,,,,signals_2025-09-11_13-23-23_STRONG.csv,,22,base_score:32.0,confluence_bonus:30.0,momentum_score:10.28
MYXUSDT,Sell,41,17.014,16.8914992,17.52442,Bearish,2025-09-11T08:27:53.435367+00:00,2025-09-11T13:57:53.435367+05:30,Success,3,3.0,,5.04%,38.74438950195153,-0.12985844512007816,-0.09239542820094572,-0.03746301691913244,17.731855189435077,17.29975,16.867644810564922,0.16935134431782456,-118.1141614551713,-5.0,0.0,3.0,17.37349454176458,0.2067440709445686,17.018796875,-0.04784375000000196,-0.28112298625693516,,-19.167608052331094,,falling,-874717.0,8.0,8.348915071427829,15.0,5.0,0.0,5.0,0.16935134431782456,38.74438950195153,-118.1141614551713,-0.03746301691913244,0.2067440709445686,17.018796875,,-19.167608052331094,,0.0,3.0,falling,-874717.0,-0.04784375000000196,-0.28112298625693516,5.04000000000004,,"{""if_confidence_needed"": 65, ""missing_points"": 24, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 11.65}]}",False,not_in_gap_or_already_strong,41,Sell,41,,,,,,,,,,,,,signals_2025-09-11_13-59-05.csv,,24,base_score:32.0,confluence_bonus:30.0,momentum_score:11.65
NAORISUSDT,Sell,45,0.07258,0.07205742,0.0747574,Bearish,2025-09-11T08:28:02.970985+00:00,2025-09-11T13:58:02.970985+05:30,Success,1,1.0,,5.04%,40.66861093682172,-0.00029632299554634145,3.660131791696116e-07,-0.0002966890087255111,0.07769061457337512,0.074912,0.0721333854266249,0.08036641311367958,-128.48450809697593,-5.0,0.0,3.0,0.07569310853879332,0.002284003622070914,0.07553890625000001,-0.00047296874999999683,-0.6261260236343398,,-4.131471414659265,,falling,-92448924.0,8.0,12.117567827215638,15.0,5.0,0.0,5.0,0.08036641311367958,40.66861093682172,-128.48450809697593,-0.0002966890087255111,0.002284003622070914,0.07553890625000001,,-4.131471414659265,,0.0,3.0,falling,-92448924.0,-0.00047296874999999683,-0.6261260236343398,5.039999999999969,,"{""if_confidence_needed"": 65, ""missing_points"": 20, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 7.88}]}",False,not_in_gap_or_already_strong,45,Sell,45,,,,,,,,,,,,,signals_2025-09-11_13-59-05.csv,,20,base_score:32.0,confluence_bonus:30.0,momentum_score:7.88
ENAUSDT,Sell,46,0.7808,0.77517824,0.804224,Bearish,2025-09-11T08:28:07.063933+00:00,2025-09-11T13:58:07.063933+05:30,Success,120,120.0,,5.04%,41.467073191206644,-0.00040070087130716914,-0.00012230749547063492,-0.00027839337583653425,0.7852680726251468,0.782895,0.7805219273748533,0.058589151929050336,-151.08628181253883,-5.0,0.0,3.0,0.7828294075381776,0.0018671842497242242,0.7814,-0.00018593749999995524,-0.02379543127718905,,-6.132386071445517,,falling,-7161526.0,8.0,12.578351210419456,15.0,5.0,0.0,5.0,0.058589151929050336,41.467073191206644,-151.08628181253883,-0.00027839337583653425,0.0018671842497242242,0.7814,,-6.132386071445517,,0.0,3.0,falling,-7161526.0,-0.00018593749999995524,-0.02379543127718905,5.040000000000028,,"{""if_confidence_needed"": 65, ""missing_points"": 19, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 7.42}]}",False,not_in_gap_or_already_strong,46,Sell,46,,,,,,,,,,,,,signals_2025-09-11_13-59-05.csv,,19,base_score:32.0,confluence_bonus:30.0,momentum_score:7.42
SOMIUSDT,Sell,43,0.95,0.94316,0.9785,Bearish,2025-09-11T08:28:19.263584+00:00,2025-09-11T13:58:19.263584+05:30,Fail,12,,12.0,5.04%,45.33138436195846,-0.002409441825702241,0.0004306522597165522,-0.002840094085418793,0.982043687059,0.9601750000000001,0.9383063129410002,0.2673614338952118,-100.91559370529194,-5.0,0.0,3.0,0.957702501079144,0.011212686157154659,0.95431875,-0.006859375000000001,-0.7187718988021561,,-5.25561147082585,,falling,-4820651.0,8.0,10.079030224756416,15.0,5.0,0.0,5.0,0.2673614338952118,45.33138436195846,-100.91559370529194,-0.002840094085418793,0.011212686157154659,0.95431875,,-5.25561147082585,,0.0,3.0,falling,-4820651.0,-0.006859375000000001,-0.7187718988021561,5.039999999999969,,"{""if_confidence_needed"": 65, ""missing_points"": 22, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 9.92}]}",False,not_in_gap_or_already_strong,43,Sell,43,,,,,,,,,,,,,signals_2025-09-11_13-59-05.csv,,22,base_score:32.0,confluence_bonus:30.0,momentum_score:9.92
